batch_id,type,user_count,produced_size_kb,ts0_generated,ts1_serialized,ts2_produced,ts3_created,ts4_consumed,ts5_deserialized,consumed_size_kb,serialize_duration,produce_duration,consume_duration,deserialize_duration,throughput_kbps
1,json,1,0.15234375,1718372763.36596,1718372763.36596,1718372764.31433,1718372763.365,1718372764.3157,1718372764.3157,0.15234375,0.0,0.948368549346924,0.950697422027588,0.0,0.160244202277409
2,json,1,0.15234375,1718372764.81513,1718372764.81613,1718372764.81965,1718372764.816,1718372764.82382,1718372764.82382,0.15234375,0.00099945068359375,0.00352692604064941,0.00781488418579102,0.0,19.4940508877906
3,json,1,0.15234375,1718372765.32114,1718372765.32114,1718372765.32561,1718372765.321,1718372765.32613,1718372765.32618,0.15234375,0.0,0.00446414947509766,0.0051264762878418,5.24520874023438e-05,29.7170495767836
4,json,1,0.15234375,1718372765.82729,1718372765.82794,1718372765.84184,1718372765.827,1718372765.84184,1718372765.84184,0.15234375,0.000642776489257813,0.0139081478118896,0.0148446559906006,0.0,10.262531519522
5,json,1,0.15234375,1718372766.34336,1718372766.34336,1718372766.34774,1718372766.343,1718372766.34912,1718372766.34912,0.15234375,0.0,0.0043790340423584,0.00612258911132813,0.0,24.8822429906542
6,json,1,0.15234375,1718372766.84852,1718372766.84954,1718372766.85424,1718372766.849,1718372766.86092,1718372766.86092,0.15234375,0.00101351737976074,0.00470042228698731,0.011918306350708,0.0,12.7823321130649
7,json,1,0.15234375,1718372767.35565,1718372767.35565,1718372767.36075,1718372767.355,1718372767.36075,1718372767.36075,0.15234375,0.0,0.00510978698730469,0.00575470924377441,0.0,26.4728839540954
8,json,1,0.15234375,1718372767.86154,1718372767.86154,1718372767.86902,1718372767.861,1718372767.87424,1718372767.87424,0.15234375,0.0,0.00747799873352051,0.0132415294647217,0.0,11.5049964889537
9,json,1,0.15234375,1718372768.37156,1718372768.37165,1718372768.37748,1718372768.371,1718372768.37847,1718372768.37847,0.15234375,9.22679901123047e-05,0.00583386421203613,0.00746989250183106,0.0,20.3943697934953
10,json,1,0.1552734375,1718372768.87844,1718372768.87844,1718372768.88374,1718372768.878,1718372768.88441,1718372768.88441,0.1552734375,0.0,0.00529217720031738,0.00641369819641113,0.0,24.2096576335452
11,json,1,0.1552734375,1718372769.38568,1718372769.38568,1718372769.38987,1718372769.385,1718372769.3923,1718372769.3923,0.1552734375,0.0,0.00419020652770996,0.00730395317077637,0.0,21.2588216092704
12,json,1,0.1552734375,1718372769.89184,1718372769.89184,1718372769.89641,1718372769.891,1718372769.89708,1718372769.89713,0.1552734375,0.0,0.00456738471984863,0.00607800483703613,5.14984130859375e-05,25.5467775467775
13,json,1,0.1552734375,1718372770.39737,1718372770.39737,1718372770.40824,1718372770.397,1718372770.4154,1718372770.41544,0.1552734375,0.0,0.0108692646026611,0.0183982849121094,3.79085540771484e-05,8.43956043956044
14,json,1,0.1552734375,1718372770.91012,1718372770.91012,1718372770.91512,1718372770.91,1718372770.916,1718372770.916,0.1552734375,0.0,0.00499653816223145,0.00599884986877441,0.0,25.8838678907834
15,json,1,0.1552734375,1718372771.41691,1718372771.41691,1718372771.42151,1718372771.416,1718372771.42653,1718372771.42653,0.1552734375,0.0,0.00460553169250488,0.0105268955230713,0.0,14.750164201753
16,json,1,0.1552734375,1718372771.92324,1718372771.92324,1718372771.92883,1718372771.923,1718372771.92901,1718372771.92901,0.1552734375,0.0,0.00559234619140625,0.00600981712341309,0.0,25.836632681398
17,json,1,0.1552734375,1718372772.42911,1718372772.42911,1718372772.43499,1718372772.429,1718372772.43702,1718372772.43702,0.1552734375,0.0,0.00587868690490723,0.00802230834960938,0.0,19.3552068473609
18,json,1,0.1552734375,1718372772.93714,1718372772.93714,1718372772.94138,1718372772.937,1718372772.9444,1718372772.9444,0.1552734375,0.0,0.00423622131347656,0.00739574432373047,0.0,20.9949709864603
19,json,1,0.154296875,1718372773.442,1718372773.442,1718372773.4477,1718372773.442,1718372773.44825,1718372773.44831,0.154296875,0.0,0.00569939613342285,0.00624704360961914,6.12735748291016e-05,24.6991832684528
20,json,1,0.1552734375,1718372773.94936,1718372773.94936,1718372773.95341,1718372773.949,1718372773.95541,1718372773.95553,0.1552734375,0.0,0.00404787063598633,0.00640535354614258,0.000124216079711914,24.241197052036
21,json,1,0.1552734375,1718372774.45521,1718372774.45521,1718372774.45928,1718372774.455,1718372774.46221,1718372774.46221,0.1552734375,0.0,0.00407242774963379,0.00720667839050293,0.0,21.5457703377775
